station;date;latitude_start;latitude_end;longitude_start;longitude_end;trawling_depth;trawling_depth_non_duplicate;bottom_depth;bottom_proximity;taxon;family;species_code;species;standard_length_cm;weight_g;number_ind_pool;individual_code;amount_mg;ampl_44;delipidation;d13c_not_corrected;d13c_muscle_corrected_post2007;d13c_delipidated;d13c;percentage_c;percentage_c_delipidated;ampl_28;d15n;d15n_delipidated;percentage_n;percentage_n_delipidated;ratio_c_n_muscle;ratio_c_n_muscle_delipidated
Z0518;29_10_2021;44,7218857;44,7530565;-2,2826458;-2,3508621;1000;1000,68;2281,333;1284,128;Fish;Platytroctidae;sear-koe;Searsia_koefoedi;11,6;14,5;1;Ser-koeff 5;0,516;9310;non;-19,77;-19,93;NA;-19,93;36,65;NA;4981;11,16;NA;11,48;NA;3,19;NA
Z0518;29_10_2021;44,7218857;44,7530565;-2,2826458;-2,3508621;1000;1000,72;2281,333;1284,128;Fish;Platytroctidae;sear-koe;Searsia_koefoedi;13;24,5;1;Ser-koeff 3;0,5505;10239;non;-19,34;-19,51;NA;-19,51;38;NA;3528;11,48;NA;11,92;NA;3,19;NA
Z0518;29_10_2021;44,7218857;44,7530565;-2,2826458;-2,3508621;1000;1000,76;2281,333;1284,128;Fish;Serrivomeridae;serr-bea;Serrivomer_beanii;26,7;9;1;Ser-bea 21;0,478;8391;non;-20,03;-20,19;NA;-20,03;36,11;NA;4553;9,23;NA;11,32;NA;3,19;NA
Z0492;24_10_2021;46,754153;46,7081413;-5,1665615;-5,2294842;370;370,94;1661,471;1290,521;Fish;Alepocephalidae;xeno-cop;Xenodermichthys_copei;10,5;10,5;1;Xeno-cop 19;0,5305;7514;non;-20,17;-20,34;NA;-20,34;41,1;NA;3376;9,28;NA;12,9;NA;3,19;NA
Z0512;28_10_2021;44,9140282;44,8735824;-2,4051544;-2,4635412;555;555,72;2180,4;1625,32;Fish;Alepocephalidae;xeno-cop;Xenodermichthys_copei;12,9;16,5;1;Xeno-cop 54;0,5065;7882;non;-19,85;-20,01;NA;-20,01;41,68;NA;3387;10,12;NA;13,06;NA;3,19;NA
Z0512;28_10_2021;44,9140282;44,8735824;-2,4051544;-2,4635412;555;555,79;2180,4;1625,32;Fish;Alepocephalidae;xeno-cop;Xenodermichthys_copei;14,3;24;1;Xeno-cop 49;0,5075;7818;non;-19,57;-19,74;NA;-19,74;39,59;NA;3215;9,86;NA;12,41;NA;3,19;NA
Z0512;28_10_2021;44,9140282;44,8735824;-2,4051544;-2,4635412;555;555,8;2180,4;1625,32;Fish;Alepocephalidae;xeno-cop;Xenodermichthys_copei;15,7;33;1;Xeno-cop 46;0,534;7820;non;-19,81;-19,98;NA;-19,98;39,18;NA;3383;10,11;NA;12,29;NA;3,19;NA
Z0503;26_10_2021;45,7965644;45,7659641;-3,9152556;-3,9831892;715;715,73;2217,412;1501,017;Fish;Alepocephalidae;xeno-cop;Xenodermichthys_copei;16,1;27;1;Xeno- cop 31;0,465;7632;non;-19,79;-19,95;NA;-19,95;41,6;NA;3030;9,91;NA;13,02;NA;3,19;NA
Z0524;30_10_2021;44,2332603;44,2772387;-2,2823696;-2,3312809;1010;1010,66;1116,923;109,28305;Fish;Alepocephalidae;xeno-cop;Xenodermichthys_copei;15,4;26;1;Xeno-cop 67;0,52;7588;non;-19,92;-20,09;NA;-20,09;41,14;NA;3371;9,74;NA;12,89;NA;3,19;NA
Z0492;24_10_2021;46,754153;46,7081413;-5,1665615;-5,2294842;370;370,68;1661,471;1290,521;Fish;Myctophidae;lamp-cro;Lampanyctus_crocodilus;7,9;4;1;Lamp-cro 15;0,4875;7585;non;-20,04;-20,19;NA;-20,19;44,72;NA;3447;9,18;NA;13,99;NA;3,2;NA
Z0492;24_10_2021;46,754153;46,7081413;-5,1665615;-5,2294842;370;370,81;1661,471;1290,521;Fish;Myctophidae;lamp-cro;Lampanyctus_crocodilus;8,7;6;1;Lamp-cro 9;0,476;7582;non;-20,2;-20,35;NA;-20,35;45,98;NA;3441;9,22;NA;14,37;NA;3,2;NA
Z0512;28_10_2021;44,9140282;44,8735824;-2,4051544;-2,4635412;555;555,58;2180,4;1625,32;Fish;Myctophidae;lamp-cro;Lampanyctus_crocodilus;11,5;13;1;Lamp-cro 62;0,4785;7774;non;-19,09;-19,24;NA;-19,24;45,41;NA;3458;10,44;NA;14,2;NA;3,2;NA
Z0503;26_10_2021;45,7965644;45,7659641;-3,9152556;-3,9831892;715;715,32;2217,412;1501,017;Fish;Myctophidae;lamp-cro;Lampanyctus_crocodilus;10,4;9;1;Lamp-cro 56;0,5015;8097;non;-19,62;-19,77;NA;-19,77;45,28;NA;3603;10,71;NA;14,13;NA;3,2;NA
Z0518;29_10_2021;44,7218857;44,7530565;-2,2826458;-2,3508621;1000;1000,46;2281,333;1284,128;Fish;Myctophidae;lamp-cro;Lampanyctus_crocodilus;12,8;18;1;Lamp-cro 96;0,4865;7387;non;-19,01;-19,16;NA;-19,16;44,56;NA;3286;10,78;NA;13,91;NA;3,2;NA
Z0524;30_10_2021;44,2332603;44,2772387;-2,2823696;-2,3312809;1010;1010,2;1116,923;109,28305;Fish;Myctophidae;lamp-cro;Lampanyctus_crocodilus;13,9;23,5;1;Lamp-cro 108;0,49;8152;non;-18,9;-19,06;NA;-19,06;46,03;NA;3637;10,49;NA;14,39;NA;3,2;NA
Z0518;29_10_2021;44,7218857;44,7530565;-2,2826458;-2,3508621;1000;1000,49;2281,333;1284,128;Fish;Platytroctidae;maul-arg;Maulisia_argipalla;7;3;1;Mau-arg 9;0,4775;9130;non;-19,65;-19,8;NA;-19,65;39,63;NA;4949;12,26;NA;12,39;NA;3,2;NA
Z0518;29_10_2021;44,7218857;44,7530565;-2,2826458;-2,3508621;1000;1000,53;2281,333;1284,128;Fish;Platytroctidae;maul-arg;Maulisia_argipalla;8,3;6;1;Mau-arg 3;0,52;9735;non;-19,11;-19,27;NA;-19,11;39,07;NA;3368;11,79;NA;12,2;NA;3,2;NA
Z0497;25_10_2021;46,1859126;46,1393977;-4,4766085;-4,5151507;1335;1335,86;2458,833;1124,658;Fish;Alepocephalidae;xeno-cop;Xenodermichthys_copei;9,5;5,5;1;Xeno-cop 87;0,4665;8639;non;-20,12;-20,27;NA;-20,27;41,63;NA;4186;9,6;NA;13,01;NA;3,2;NA
Z0492;24_10_2021;46,754153;46,7081413;-5,1665615;-5,2294842;370;370,64;1661,471;1290,521;Fish;Sternoptychidae;argy-olf;Argyropelecus_olfersii;4,9;3,5;1;Arg-olf 5;0,4545;6729;non;-19,76;-19,9;NA;-19,76;37,79;NA;2677;10,15;NA;11,77;NA;3,21;NA
Z0524;30_10_2021;44,2332603;44,2772387;-2,2823696;-2,3312809;1010;1010,01;1116,923;109,28305;Fish;Sternoptychidae;argy-olf;Argyropelecus_olfersii;6,8;9;1;Arg-olf 41;0,5025;8140;non;-19,35;-19,49;NA;-19,35;44,81;NA;3624;10;NA;13,97;NA;3,21;NA
Z0512;28_10_2021;44,9140282;44,8735824;-2,4051544;-2,4635412;555;555,49;2180,4;1625,32;Fish;Myctophidae;lamp-cro;Lampanyctus_crocodilus;10,2;8;1;Lamp-cro 67;0,526;6429;non;-19,86;-20;NA;-20;46,35;NA;3880;11,18;NA;14,43;NA;3,21;NA
Z0518;29_10_2021;44,7218857;44,7530565;-2,2826458;-2,3508621;1000;1000,3;2281,333;1284,128;Fish;Myctophidae;lamp-cro;Lampanyctus_crocodilus;7,4;3;1;Lamp-cro 84;0,4615;9742;non;-20,13;-20,27;NA;-20,27;43,92;NA;3346;9,62;NA;13,67;NA;3,21;NA
Z0518;29_10_2021;44,7218857;44,7530565;-2,2826458;-2,3508621;1000;1000,52;2281,333;1284,128;Fish;Platytroctidae;maul-arg;Maulisia_argipalla;7,8;5,5;1;Mau-arg 7;0,484;9876;non;-19,57;-19,71;NA;-19,57;42,63;NA;3414;12,52;NA;13,27;NA;3,21;NA
Z0524;30_10_2021;44,2332603;44,2772387;-2,2823696;-2,3312809;1010;1010,53;1116,923;109,28305;Fish;Alepocephalidae;xeno-cop;Xenodermichthys_copei;10,4;9;1;Xeno-cop 71;0,528;7667;non;-20,13;-20,27;NA;-20,27;41;NA;3377;10,14;NA;12,75;NA;3,21;NA
Z0524;30_10_2021;44,2332603;44,2772387;-2,2823696;-2,3312809;1010;1010,65;1116,923;109,28305;Fish;Alepocephalidae;xeno-cop;Xenodermichthys_copei;14;20;1;Xeno-cop 63;0,5345;7819;non;-19,82;-19,97;NA;-19,97;39,71;NA;3334;10,21;NA;12,39;NA;3,21;NA
Z0497;25_10_2021;46,1859126;46,1393977;-4,4766085;-4,5151507;1335;1335,81;2458,833;1124,658;Fish;Alepocephalidae;xeno-cop;Xenodermichthys_copei;8;3,1;1;Xeno-cop 97;0,5105;9567;non;-19,99;-20,13;NA;-20,13;41,6;NA;4574;9,81;NA;12,96;NA;3,21;NA
Z0512;28_10_2021;44,9140282;44,8735824;-2,4051544;-2,4635412;555;555,41;2180,4;1625,32;Fish;Sternoptychidae;argy-olf;Argyropelecus_olfersii;9;18;1;Arg-olf 21;0,537;8221;non;-19,77;-19,9;NA;-19,77;42,51;NA;3626;10,75;NA;13,19;NA;3,22;NA
Z0518;29_10_2021;44,7218857;44,7530565;-2,2826458;-2,3508621;1000;1000,06;2281,333;1284,128;Fish;Sternoptychidae;argy-olf;Argyropelecus_olfersii;7,3;12,5;1;Arg-olf 32;0,53;9792;non;-19,85;-19,98;NA;-19,85;37,64;NA;5221;10,39;NA;11,68;NA;3,22;NA
