station;date;latitude_start;latitude_end;longitude_start;longitude_end;trawling_depth;bottom_depth;bottom_proximity;taxon;family;species_code;species;group;community;standard_length_cm;weight_g;number_ind_pool;individual_code;amount_mg;ampl_44;delipidation;d13c_not_corrected;d13c_muscle_corrected_post2007;d13c_delipidated;d13c;%c;%c_delipidated;ampl_28;d15n;d15n_delipidated;%n;%n_delipidated;ratio_c_n_muscle_delipidated;ratio_c_n_muscle
Z0508;27_10_2021;45,1538929;45,1625943;-3,4823294;-3,5890421;25;3541,185;3516,025;Fish;Myctophidae;Myct-pun;Myctophum_punctatum;3;25;5,9;3,1;1;Myct-pun 48;0,503;10087;oui;-21,96907324;-20,57886379;-20,29;-20,29;51,29576221;42,98;5743;9,234990371;9,12;10,78143237;12,9;4,75778732;3,331382945
Z0508;27_10_2021;45,1538929;45,1625943;-3,4823294;-3,5890421;25;3541,185;3516,025;Fish;Myctophidae;Myct-pun;Myctophum_punctatum;3;25;6,6;3,7;1;Myct-pun 42;0,535;10179;oui;-21,02332724;-20,11173762;-19,98;-19,98;49,04313272;43,07;4214;10,63511699;10,67;11,47386817;13,03;4,274332945;3,306101744
Z0508;27_10_2021;45,1538929;45,1625943;-3,4823294;-3,5890421;25;3541,185;3516,025;Fish;Myctophidae;Myct-pun;Myctophum_punctatum;3;25;6,6;4,3;1;Myct-pun 53;0,541;10512;oui;-21,36;-20,51004732;-20,26;-20,26;50,15;43,33;4422;10,02;9,97;11,92;12,85;4,207480631;3,370851903
Z0508;27_10_2021;45,1538929;45,1625943;-3,4823294;-3,5890421;25;3541,185;3516,025;Fish;Myctophidae;Myct-pun;Myctophum_punctatum;3;25;5,8;2,7;1;Myct-pun 46;0,5405;9766;oui;-20,43052953;-20,34257624;-20,21;-20,21;46,56211572;43,37;5027;9,820461471;9,8;13,52615212;13,37;3,442377057;3,244746476
Z0508;27_10_2021;45,1538929;45,1625943;-3,4823294;-3,5890421;25;3541,185;3516,025;Fish;Myctophidae;Myct-pun;Myctophum_punctatum;3;25;6,1;3,5;1;Myct-pun 50;0,524;10963;oui;-21,92;-20,11855181;-19,78;-19,78;52,87;43,44;5713;9,94;9,77;10,22;12,98;5,17445501;3,346431633
Z0508;27_10_2021;45,1538929;45,1625943;-3,4823294;-3,5890421;25;3541,185;3516,025;Fish;Myctophidae;Myct-pun;Myctophum_punctatum;3;25;6;3,2;1;Myct-pun 47;0,543;10218;oui;-21,33386824;-20,53245094;-20,4;-20,4;49,63189264;43,46;4424;9,291035467;9,41;11,92200889;12,9;4,163047781;3,36734657
Z0508;27_10_2021;45,1538929;45,1625943;-3,4823294;-3,5890421;25;3541,185;3516,025;Fish;Myctophidae;Myct-pun;Myctophum_punctatum;3;25;7;4,6;1;Myct-pun 51;0,485;9857;oui;-20,43;-20,31461677;-20,27;-20,27;46,91;43,48;4480;10,1;10,25;13,51;12,88;3,471373048;3,375374328
Z0508;27_10_2021;45,1538929;45,1625943;-3,4823294;-3,5890421;25;3541,185;3516,025;Fish;Myctophidae;Myct-pun;Myctophum_punctatum;3;25;5,7;2,8;1;Myct-pun 56;0,5235;9733;oui;-20,49;-20,35934919;-20,27;-20,27;46,25;44,03;4805;9,2;9,16;13,26;13,09;3,48691709;3,363399144
Z0508;27_10_2021;45,1538929;45,1625943;-3,4823294;-3,5890421;25;3541,185;3516,025;Fish;Myctophidae;Myct-pun;Myctophum_punctatum;3;25;6,7;4,5;1;Myct-pun 55;0,544;11003;oui;-21,78;-20,50996328;-20,29;-20,29;51,53;44,4;4177;10,08;9,89;11,11;12,79;4,636796656;3,47143495
Z0508;27_10_2021;45,1538929;45,1625943;-3,4823294;-3,5890421;25;3541,185;3516,025;Fish;Myctophidae;Myct-pun;Myctophum_punctatum;3;25;7;4,4;1;Myct-pun 43;0,5405;11215;oui;-22,29869222;-20,75837397;-20,1;-20,1;53,46500291;45,33;4021;9,45016351;9,73;10,89030597;13,67;4,909412376;3,316300747
Z0508;27_10_2021;45,1538929;45,1625943;-3,4823294;-3,5890421;25;3541,185;3516,025;Fish;Myctophidae;Noto-bol;Notoscopelus_bolini;4;25;8;6;1;Noto-bol 11;0,5205;8707;oui;-23,55;-15,83;-19,82;-19,82;64,62;41,54;2854;11,05;11,25;5,79;12,19;11,15602084;3,407355935
Z0508;27_10_2021;45,1538929;45,1625943;-3,4823294;-3,5890421;25;3541,185;3516,025;Fish;Myctophidae;Noto-bol;Notoscopelus_bolini;4;25;8;6,5;1;Noto-bol 18;0,509;10477;oui;-22,16;-19,64;-19,7;-19,7;56,85;42,76;4768;11,38;11,18;9,65;12,82;5,891160528;3,33606838
Z0508;27_10_2021;45,1538929;45,1625943;-3,4823294;-3,5890421;25;3541,185;3516,025;Fish;Myctophidae;Noto-bol;Notoscopelus_bolini;4;25;8;6,5;1;Noto-bol 7;0,495;7187;oui;-21,79;-19,53;-19,6;-19,6;55,72;43,02;4600;11,15;11,61;9,89;12,73;5,633468304;3,38020607
Z0508;27_10_2021;45,1538929;45,1625943;-3,4823294;-3,5890421;25;3541,185;3516,025;Fish;Myctophidae;Noto-bol;Notoscopelus_bolini;4;25;8,1;6,5;1;Noto-bol 15;0,527;8398;oui;-23,24;-18,9;-20,12;-20,12;59,67;43,2;3999;11,68;11,13;7,71;12,85;7,743660281;3,361570244
Z0508;27_10_2021;45,1538929;45,1625943;-3,4823294;-3,5890421;25;3541,185;3516,025;Fish;Myctophidae;Noto-bol;Notoscopelus_bolini;4;25;8,4;7;1;Noto-bol 8;0,507;7915;oui;-22,85;-17,84;-19,66;-19,66;60,24;43,51;3404;11,41;11,58;7,16;13;8,409978234;3,346800985
Z0508;27_10_2021;45,1538929;45,1625943;-3,4823294;-3,5890421;25;3541,185;3516,025;Fish;Myctophidae;Noto-bol;Notoscopelus_bolini;4;25;8;6,5;1;Noto-bol 9;0,532;8324;oui;-23,18;-17,85;-19,84;-19,84;60,36;43,58;3452;11,18;11,9;6,9;12,69;8,741447625;3,435576747
Z0508;27_10_2021;45,1538929;45,1625943;-3,4823294;-3,5890421;25;3541,185;3516,025;Fish;Myctophidae;Noto-bol;Notoscopelus_bolini;4;25;8,3;6,5;1;Noto-bol 17;0,4645;9189;oui;-21,9;-19,87;-20,04;-20,04;54,87;43,59;4604;11,04;11,08;10,15;12,66;5,408223018;3,444553873
Z0508;27_10_2021;45,1538929;45,1625943;-3,4823294;-3,5890421;25;3541,185;3516,025;Fish;Myctophidae;Noto-bol;Notoscopelus_bolini;4;25;7,9;5,5;1;Noto-bol 5;0,516;7852;oui;-22,7;-18,93;-19,76;-19,76;58,58;43,62;3991;10,98;11,57;8,18;12,85;7,163270308;3,394984254
Z0508;27_10_2021;45,1538929;45,1625943;-3,4823294;-3,5890421;25;3541,185;3516,025;Fish;Myctophidae;Noto-bol;Notoscopelus_bolini;4;25;7,6;5;1;Noto-bol 3;0,488;6901;oui;-21,86;-19,64;-19,84;-19,84;54,26;43,67;4450;10,73;11,29;9,71;12,87;5,588887136;3,393369517
